ETS_Cap,Tax_Cap,Status,Funding Gap,ETS Price,Carbon Tax [Iron_and_steel],Carbon Tax [Ammonia],Carbon Tax [Cement],Carbon Tax [Refinery],Gap at cap,ETS at cap,Tax at cap [Iron_and_steel],Tax at cap [Ammonia],Tax at cap [Cement],Tax at cap [Refinery]
0,0,infeasible,,,,,,,-9099309952.296238,0.0,0.0,0.0,0.0,0.0
0,10,infeasible,,,,,,,-7193928061.332852,0.0,10.0,10.0,10.0,10.0
0,20,infeasible,,,,,,,-5288546170.369467,0.0,20.0,20.0,20.0,20.0
0,30,infeasible,,,,,,,-3383164279.406081,0.0,30.0,30.0,30.0,30.0
0,40,infeasible,,,,,,,-1477782388.4426951,0.0,40.0,40.0,40.0,40.0
0,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
0,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
0,70,optimal,-5.409237928688526e-06,0.0,70.0,70.0,21.182743975438438,70.0,,0.0,70.0,70.0,21.182743975438438,70.0
0,80,optimal,-4.913366865366697e-06,0.0,80.0,80.0,9.236650789646614,80.0,,0.0,80.0,80.0,9.236650789646614,80.0
0,90,optimal,-5.247420631349087e-06,0.0,85.76053842082891,90.0,0.0,90.0,,0.0,85.76053842082891,90.0,0.0,90.0
0,100,optimal,-4.789675585925579e-06,0.0,77.0684993671787,100.0,0.0,100.0,,0.0,77.0684993671787,100.0,0.0,100.0
10,0,infeasible,,,,,,,-7956080817.718207,10.0,0.0,0.0,0.0,0.0
10,10,infeasible,,,,,,,-6050698926.754821,10.0,10.0,10.0,10.0,10.0
10,20,infeasible,,,,,,,-4145317035.7914352,10.0,20.0,20.0,20.0,20.0
10,30,infeasible,,,,,,,-2239935144.8280497,10.0,30.0,30.0,30.0,30.0
10,40,infeasible,,,,,,,-334553253.8646636,10.0,40.0,40.0,40.0,40.0
10,50,optimal,-5.3032999858260155e-06,0.0,50.0,50.0,45.0749303470221,50.0,,0.0,50.0,50.0,45.0749303470221,50.0
10,60,optimal,-4.913774318993092e-06,0.0,60.0,60.0,33.12883716123027,60.0,,0.0,60.0,60.0,33.12883716123027,60.0
